sentence,emotion
"Ablam koluma vurmuştu , ben bir daha yapmamasını söyledim, fakat bir süre sonra tekrar yaptı, bu beni çok öfkelendirmişti.",anger
Biberin içerisine lor koyup yağlayarak sofraya getirmişlerdi tiksindim yiyemedim.,disgust
Sınavlar bittiği zaman mutlu oluyorum.,happiness
Sınavı yetiştiremem diye düşündüğüm zamanlar.,fear
Ayak kokusu.,disgust
haksızlığa uğramak,anger
Soruları çözemediğim zaman öfkeleniyorum.,anger
"Beyaz saçları ve beyaz sakalı nedeniyle çoğu kişi kendisine ""Ak Kurt"" diye hitap eder .",neutral
Yılan görmek.,fear
Ayrılık yaşadığımda.,sadness
En yakın arkadaşımın elime kusması.,disgust
Yapmacık insanlardan tiksinirim.,disgust
Balığım öldüğünde ve köpeğimden ayrıldığımda.,sadness
uzun süredir beklediğim erkek bana mesaj atınca havalara uçtum,happiness
Yemekten kıl çıktığında tiksinirim.,disgust
Çok şiddet içerikli bir video izlediğimde tiksindim.,disgust
Ego ve kendini övme.,anger
Kardeşim raptiye yuttuğu zaman iyileşene kadar korktum.,fear
İri yuvarlak kafasının yukarı kesiminde yarı dik kulakları vardır .,neutral
Sevdiklerime kötü bir şey olacak diye korkarım.,fear
Yalan söylenmesi.,anger
Yalan söylendiğinde öfkelenirim.,anger
Korktuğum bir hayvanla karşılaşmak.,fear
Köpeğim öldüğü zaman çok üzülmüştüm.,sadness
Sabah erkenden okula gelmekten üzülüyorum.,sadness
Yılan gördüğümde çok korktum.,fear
Yüksek beklediğim sınavdan düşük not almak.,sadness
Babamın vefatı bende onarılmaz yaralar açtı.,sadness
Köpeğim doğum yaptığında bir çok yavrusunun ölmesi.,sadness
ölü böceklerden tiksiniyorum.,disgust
Daha çok Hisar dergisinde yayınlanan öyküleri ile tanındı .,neutral
Dedemi toprağa verdiğimiz an aklıma gelince üzülüyorum.,sadness
Sınavda düşük bekleyip yüksek not almak.,happiness
Umursamaz insanlara öfkelenirim.,anger
Kedi kesme videoları.,disgust
Bir sonraki yıl grup kendi adını taşıyan çıkış albümünü yayımladı .,neutral
evde kavga olması ve yemek olmaması beni üzer,sadness
Kendisine yapılmasını istemediği bir şeyi bana yapan insanlar.,anger
Evde tek kalınca korkarım.,fear
"Yaptığım işin eksik bulunarak yeniden yapılmasının istenmesi, otobüsü kaçırdığımda ve görmezden gelindiğimde öfkelenirim.",anger
arkadaşlarımın bana hava atması,anger
Arkadaşımın bana yalan söylemesi.,anger
Güvendiğim insanların arkamdan iş çevirmesi.,anger
Babamdan gizli arabayı alıp kaza yaptığım zaman korktum.,fear
Sultan Üçüncü Mustafa zamanında da sadrazamlığa devam etti .,neutral
Vefat eden dedem için çok üzüldüm.,sadness
annem ile babamın yanımda tartıştıklarında çok korktum.,fear
anneannemin artık hayatta olmadığını düşününce en mutlu anımda bile ağlayabilirim.,sadness
Sevdiğim tarafından terk edildiğim zaman çok üzüldüm.,sadness
Evde temizlik yaparken yılan görmüştüm.,fear
Araç Honda Jazz ile birlikte aynı platformu paylaşmaktadır .,neutral
Sevdiğim yemeği yemek.,happiness
İlk kez dikiş atıldığında çok korkmuştum.,fear
Düşük not almak.,sadness
Arkamdan iş çevrildiğini öğrendiğimde öfkelendim,anger
İnsanların eşit şartlara sahip olmaması üzüyor.,sadness
İnsanların beni önemsememesi ve yakın arkadaşlarımın benimle ilgili ayrıntıları hatırlamaması.,sadness
Arkadaşlarımın yanımda olması.,happiness
cinlerle ilgili kabuslardan korkuyorum.,fear
Küçükken pazarda kaybolmuştum.,fear
Gereksiz yere yediğim yumruk beni çok kızdırdı.,anger
Emek ve yakıt maliyetleri ek yükün önemli bir bölümünü oluşturmaktadır .,neutral
Annem ile tartışırken bana ettiği hakarete.,anger
sınav süresinde boşa geçirdiğim bol vakitleri düşünmek beni üzüyor.,sadness
Yurt dışında fotoğraf çektirmek istediğim bir yer vardı ve bu yaz oraya gittim.,happiness
Arkadaşlarımla beraber otururken aniden kalbimle ilgili problem yaşadığım duygusuna kapılıp hissettiğim ölüyorum duygusundan korktum.,fear
Savaş karşıtı ve feminist eylemlerde aktif olarak yer aldı .,neutral
Babasının Trabzon milletvekili olmasından dolayı çocukluğu ile ilkokul dönemi burada geçti .,neutral
Yaşım gereği olacak ki zamanımın yarısını sinirli geçiriyorum. Beni en çok annem ve kardeşim sinirlendirir. Bu onları sevmiyorum demek değil tabi ki.,anger
Fas Duvarı olarak adlandırılan duvarın yapımı altı aşamada gerçekleştirilmiştir .,neutral
Bazen et yediğimde yediklerimin bir zamanlar canlı olduğunu düşünmek.,disgust
Lebron James mükemmel bir Chicago serisini geride bırakmıştı .,neutral
Kuzenim kardeşimin bacağına tekme atıp kırdığı zaman ona çok öfkelenmiştim.,anger
Doktora gitmek.,fear
"""Kırşehir kitabevi'nin"" yakıldığı haberini gördüğüm zaman.",sadness
Kardeşimin başına bir şey gelmesi.,fear
kardeşim odamı dağıtınca çok öfkelendim.,anger
Küflenmiş yiyecekler ve pazar yerleri.,disgust
Atakum Belediyesi Belediye Meclis Üyeliği görevinde bulundu .,neutral
Başarılı bir öğrenciyim ve  bu yüzden kötü not aldığım zaman üzülüyorum.,sadness
Laubali insanlar.,disgust
Sınavdan 100 aldığım zaman.,happiness
hoşlandığım kız beni reddedince kahroldum,sadness
futbol turnuvasını kazanınca mutlu olurum.,happiness
Türk lojistik sektörüne getirdiği yenilikçi yaklaşımla bilinmektedir .,neutral
Bu tedavide aşama aşama giden bir tedavi yöntemi uygulanır .,neutral
Sevdiğim insana ufacık da olsa bir zarar gelirse üzülürüm.,sadness
Sokak hayvanlarının oturduğu yerde oturmaktan.,disgust
Derin düşüncelere daldığımda üzülürüm.,sadness
Sezon bittiğinde takımı tarafından serbest bırakıldıktan sonra Phoenix takımına geri dönmüştür .,neutral
Teyzemin vefatı.,sadness
ailemden birini kaybetmek...,sadness
Arkadaşımı burnunu karıştırırken yakaladığımda.,disgust
Dostlarımın bana düşmanlarımı aratmasına öfkelenirim.,anger
Değer verdiğim insanların üzülmesi.,sadness
Arkadaşlarımla istediğim koşullarda ders çalışırsam çok iyimser ve mutlu olurum.,happiness
Yüksek beklediğim sınavdan düşük not almak.,sadness
Ailem bana kedi aldığında mutlu olmuştum.,happiness
Karasal iklime sahip yöre de kışlar çok soğuk geçmektedir .,neutral
"aylardır görüşmediğim anneannemleri, teyzemleri ve dayımları görünce çok mutlu oldum.",happiness
Yanlış bir şey yaptığımda ailemin vereceği tepkiden korkarım.,fear
Buzullar değişen hava sıcaklığı ve kar yağışı hakkında detaylı bir kayıt sağlar .,neutral
Yere tükürülmesinden tiksinirim.,disgust
Beklentilerimin gerçekleşmemesi.,sadness
Küçükken bir akrabam beni sarhoş etmişti. Bundan çok mutlu oldum.,happiness
Şehir Çad ve Sudan sınırlarına yakın bir konumda bulunmaktadır .,neutral
Dedemin vefatı.,sadness
Yer çekimi olgusunu açıklamaya çalışan birçok teori olmuştur .,neutral
Böceklerden.,fear
Birisinin önümde kusması.,disgust
Geceleri köpeklerin kovalaması.,fear
Çocuk ve genç yetişkinlere yönelik eserler yazmaktadır .,neutral
Dizel motorlarda yukarıdaki anlamda bir motor freni yoktur .,neutral
İnsanların bir birlerine şefkatle baktıklarını görmek.,happiness
İnternet paketim bittiğinde üzülürüm.,sadness
Milli değerlerimize ve şahsıma hakaret edildiğinde öfkelenirim.,anger
Benimle alay edildiğinde öfkelenirim.,anger
Tıp fakültesini kazanırsam mutlu olurum.,happiness
Hak ettiğimiz atamaların yapılmaması beni çok sinirlendiriyor.,anger
evimize yarasa girdiğinde korkudan ölecektim.,fear
Bunun sonucunda sentetik zümrüt üretimine istek artmıştır .,neutral
Cinleri düşündüğüm zaman.,fear
herhangi bir şeyden kıl çıkmasından çok tiksinirim,disgust
korku filmi seyretmekten korkuyorum,fear
"Elime geçen bir takım fırsatları değerlendirmediğimden ötürü, yurt dışında yaşama fırsatını kaçırdığım için üzüntü duyuyorum.",sadness
Yüksekten.,fear
Kulak pisliği.,disgust
Yıllar sonra geriye dönüp baktığımda ömrün beyhude geçtiğini görme ihtimali beni korkutuyor.,fear
Samimiyetsiz yapmacık insanlara sinirlenirim.,anger
Bazen arkadaşlarım tarafından dışlanıp onlara ayak uyduramadığım zaman.,sadness
hocalar bana kızdığında üzülürüm,sadness
benim gösterdiğim özeni karşımdakinin göstermemesi beni çileden çıkartır.,anger
Metroda yanlışlıkla bilmediğim bir yerde inmiştim.,fear
Sürekli öğüt verilmesine.,anger
Kanlı film sahnelerinden tiksinirim.,disgust
Kuzenlerimle dışarı çıktığımızda iki kişi bize bıçakla saldırmıştı.,fear
İstanbul ve Ankara illeri dışında kurulan ilk üniversitedir .,neutral
Daha sonra Kimberly arabayı sürerken onlarca kişinin öleceği bir araba kazası hayali görür .,neutral
Beyaz peynir Türkiye ve komşu ülkelerinde tercih edilen peynir türüdür .,neutral
Asal sayılar ve eşzamanlı doğrusal denklemler üzerine yaptığı çalışmalarla dikkat çekti .,neutral
Öbür dünyadaki varlıklarla ilgili konuşulunca korkarım.,fear
Yusufçuk hayvanından.,fear
Büyük dedem öldüğünde çok üzüldüm.,sadness
Aynalar filminden etkilenip bir süre aynalara bakamadım.,fear
Bir yakınımı kaybetmek.,sadness
Arkadaşlarımın bana yemek ısmarlamamasına üzülürüm.,sadness
Bir motor ve arabanın çarpışmasını gördüğüm zaman.,fear
Prison Break dizisinde hapishane müdürü Henry Pope karakterini canlandırmıştır .,neutral
Yeni doğan çocuğumu ilk defa elime aldığımda çok mutlu oldum.,happiness
Babam  yaşındaki bir adam tarafından taciz edildiğim zaman.,fear
Çok çalıştığım fen sınavına bir gün kala hasta oldum ve bu yüzden sınavım kötü geçti.,sadness
voleybol maçını kazandığımızda çok sevindim,happiness
Kediyi tekmeleyen bir adam gördüğümde.,anger
Film genel olarak eleştirmenlerden olumlu görüşler aldı .,neutral
İnsanların adaletsizliği beni öfkelendiriyor.,anger
oğlum yeni aldığım parfümü kırınca içim gitti.,sadness
Çocuğumun hastalığında izin alamayınca çok üzüldüm.,sadness
Yaptığım bir hareketin kötü sonuç vermesi.,sadness
Arabamda sigara içmek isteyen arkadaşlarıma izin vermiyorum.,anger
Karanlık ve yükseklik.,fear
Aynı dondurmayı iki kişinin yediğini gördüğümde.,disgust
İnsanların salya sümük ağlamasından tiksinirim.,disgust
havalı olduğunu sanan amelelerden oldum olası tiksinirim.,disgust
Birisinin burnunu kurcalaması.,disgust
Kuzenimin vefat ettiği zaman üzülmüştüm.,sadness
Bilinmeyen şeylerden korkarım.,fear
Kabus gördüğümde ve çok karanlıktan.,fear
Arkadaşımın başına bir hastalık gelirse üzülürüm.,sadness
Sevdiklerimle birlikte olmaktan mutlu olurum.,happiness
İş yoğunluğundan usandım.,sadness
abimin bana çikolata alıp getirmesi,happiness
Bunun sonucunda doğumu ve çocukluğu basında geniş olarak ilgi görmüştür .,neutral
kız kardeşimin hiç tanımadığımız bir çocuğa onun neden annesi var da benim yok  diye gidip vurması beni hala ağlatacak kadar çok üzer,sadness
dayım hediye olarak helikopter alınca,happiness
Bu süre içinde kaybolan yumurtanın olması durumunda dişi kuş onun yerine tekrar yumurtlar .,neutral
Çok sayıda kuş türünün doğal yaşam alanıdır .,neutral
Pasaklı ve pis insanlardan tiksinirim.,disgust
Orada eskiden Ak meşe ağaçları olduğundan dolayı bu adı almıştı .,neutral
Herhangi bir konuda başarılı olmak beni çok mutlu eder.,happiness
Bazen sebepsiz yere de üzülürüm.,sadness
Kan aldırırken damarların şişmesi.,fear
Galatasaray'ın şampiyonluğu beni çok mutlu etti.,happiness
Tavşanımın ölmesi.,sadness
Sanatçının eşi birçok iç mekan tablosunda modellik yaptı .,neutral
Anneannemin evinde ayağımın üstünden fare geçmişti.,fear
Kendimi gerçek anlamda özgür hissettiğim an.,happiness
yanımda yakınımda sigara içilmesinden nefret ediyorum.,disgust
Karşımda kötü bir şekilde yemek yenmesinden.,disgust
Hayatımda tadacağım zevklerle buluşmanın ilk anı.,happiness
Yaşlı veya bilge Cato diye de bilinir .,neutral
Yazlıkta yatağımı karınca bastığında.,fear
tuvaletin kirli bırakılmasından nefret ediyorum.,disgust
Karşımdakinin ağzı açık yemek yemesi.,disgust
kardeşimin eşyalarımı izinsiz kullanması ve eşyalarımı dağıtması beni çılgına çevirir,anger
Gelecekteki planlarımı uygulayamamak.,sadness
Haksızlığa uğradığım durumlar.,anger
Acı çekmekten korkarım.,fear
arkadaşlarımla oyun oynayıp kaybettiğimde çok öfkelendim.,anger
Arı kovanının yanından geçerken korkarım.,fear
Sevgilim evlenelim dediğinde mutlu oldum.,happiness
Arkadaşım vefat ettiği gün  çok üzüldüm.,sadness
küçükken eve giren hırsızı görünce ödüm patlamıştı,fear
Ummadığım kişilerden bilimsel ya da kültürel bir şeyler öğrendiğim zaman.,happiness
Bir tabakta bir sürü yemeğin birbirine karışması.,disgust
Geleneksel olan Kalori teorisinden ayrılan kütle olmadan madde ısı olarak hareket eder .,neutral
Birisi bir eşyama zarar verdiği zaman.,anger
Satürn atmosfer ve dış tabakalarında helyum oranının beklenenden çok daha az olduğu gözlenmiştir .,neutral
Sevdiğim arkadaşımla aynı okula düşmemek beni üzdü.,sadness
10 yaşındayken köpek kovalamıştı.,fear
Erken yaşta şiir ve retorik konusundaki yetenekleriyle göze batmıştır .,neutral
Memleketime gittiğimde.,happiness
tatil yaklaştıkça mutlu oluyorum.,happiness
Yemekten yabancı cisim çıktığında tiksinirim.,disgust
babamın test sonuçlarını almaya her gittiğimde,fear
Bisikletten düştüğümde arabanın tekeri saçlarımın üstünden geçtiğinde.,fear
Allah'tan başka kimseden korkmam.,fear
Çalışmadan sınava girdiğimde.,fear
İnsanların çatalını görmekten tiksiniyorum.,disgust
Halkının geçim kaynağını tarım ve turizm oluşturur .,neutral
Nüfusun diğer kısmı Anadolu’nun çeşitli illerinden dengeli bir şekilde gelmiştir .,neutral
Duygu ve düşüncelerime değer verilmemesine öfkelenirim.,anger
Akademik kariyerim başladığı zaman.,happiness
Ayrıca önemli bir uzaktan çalışma ve uzaktan eğitim platformudur .,neutral
Eve dönerken bir arabanın beni ısrarlan bırakmak istemesi beni korkuttu.,fear
Laboratuvar ortamında kolayca yapılabilmesi ve etkileri nedeni ile oldukça korkutucu sayılabilir .,neutral
Tarih sınavının olacağını duyduğum an.,fear
"""Şeyda'nın"" dışındaki herkesten.",disgust
Allah'tan başka kimseden korkmam.,fear
Muhabbet kuşumun ayağı kırılınca üzüldüm.,sadness
Yılandan korkarım.,fear
Böceklerden.,disgust
Okuldan dönerken sokağımızın tenha olmasından korktum.,fear
Sınavdan 50 üstü not almak.,happiness
Çinlilerin böcek yediğini öğrendiğimde tiksindim.,disgust
bazı insanları yüzüme farklı arkamdan farklı konuşmasından nefret ederim.,anger
Hiç görmediğim yerleri gezmekten ve fotoğraf çekmekten mutlu olurum.,happiness
kaldığım yurtta yangın çıkmıştı ve o an öleceğimi sanıp gerçekten çok korkmuştum.,fear
Bu şekilde içerik paylaşımı yerel ağlar üzerinden optimize edilmiş olur .,neutral
Bir kişinin kendisini diğerlerinden üstün görmesi.,anger
Seylan fili günümüzde yalnızca birkaç Ulusal Parkta ve Doğal Koruma Alanında yaşamaktadır .,neutral
Kantindeki fiyatların artması.,anger
Karanlık bir yerden geçerken karşıma aniden bir kedinin çıkmasıyla irkildim.,fear
Pis koku duyduğumda.,disgust
Babaannem öldüğü zaman çok üzülmüştüm.,sadness
Okul tuvaletlerinden.,disgust
Türk milli takımının Avrupa şampiyonasına gitmesi.,happiness
Sinemaya gitmek.,happiness
Her türlü çıkar için söylenen yalanlar ve manevralardan tiksinirim.,disgust
Hoşlandığım kişinin başka kızlarla gülüşmesi.,anger
Bazı günün kronik tarih yazarları bu hastalığın veba salgını olduğunu yazmışlardır .,neutral
Çok yakın bir arkadaşım ile aramın bozulması.,sadness
Toplu taşıma araçlarında yer vermek zorunda kalmak.,sadness
ÇOCUKKEN SAHİP OLDUĞUM CİVCİV ÖLÜNCE ÇOK ÜZÜLMÜŞTÜM,sadness
Düşündüğüm ve istediğim şeyleri yaptığımda benimle dalga geçilmesine öfkelenirim.,anger
okul tuvaletlerine girince.,disgust
sevdiğim kız acaba beni seviyor mu diye korktum. saçma gibi ama evet.,fear
Gecenin bir vakti uyurken gök gürlemesinden çok korktum,fear
Bu yüzden Muammer Kaddafi tarafından hain ilan edildi .,neutral
Kötü geçen bir sınavdan sonra.,sadness
Çünkü ilk kez Hipokrat bu hastalığın tanımını yapmıştır .,neutral
Balkonda gördüğüm fare ölüsünden tiksindim.,disgust
Tartışma sırasında karşımdakinin ısrarla anlamak istememesi.,anger
Gelecek ile ilgili kaygılarım var.,fear
teog sınavında 470 aldığımda sevindim.,happiness
otobüsü kaçırdığımda öfkelenirim.,anger
Ben bir şey anlatırken karşımdakinin ısrarla beni anlamak istememesi.,anger
Artık metanol tipik olarak damıtma yoluyla geri kazanılır ve yeniden kullanılır .,neutral
Bazı Türk boylarında nadiren de olsa dişil bir varlık olarak görülür .,neutral
Bu bölümü kazandığımda.,happiness
Köpeğimi ve babamı özlediğim zamanlar.,sadness
Hocası Neyzen Halil Dikmen’den neyin yanında resim dersleri almaya başlar .,neutral
Manevi varlıkların muhabbeti ve yalnız kaldığım da sürekli aklıma gelmesi korkutur .,fear
Birine 130 TL ye gömlek almıştım. O kadar çok para verdiğime üzülmüştüm.,sadness
İnsanlığını kaybetmiş insanlara.,anger
Tuvaleti kirli gördüğümde çok tiksindim.,disgust
ilk kez aşı vurulduğumda çok korkmuştum.,fear
Türkçe'den 96 aldığım zaman.,happiness
eşimin kardeşiyle olan ilişkisini görünce üzülüyorum.,sadness
böcek ve örümceklerden tiksinirim.,disgust
Sevgilimden ayrıldım.,sadness
Kahvemin defterime dökülmesi.,anger
Ordu Komutanlığı ve Yüksek Askeri Şura üyeliği görevlerinde bulundu .,neutral
sevdiğim birini kaybedersem mahvolurum,sadness
Barry o sıralarda Judo dersleri veriyor ve evinin yakınındaki bir kilisede Org çalıyordu .,neutral
Böceklerden tiksinirim.,disgust
Ramazan ayında yaygın olarak yapılır ve yenir .,neutral
Babam iş dolayısıyla sürekli şehir dışındaydı. Artık burada kalacağını öğrendiğim zaman.,happiness
Aldatıldığımı anlayınca öfkelendim.,anger
Arkadaşımın kolundaki yarayı göstermesi.,disgust
Bir şeyi bir çok kez denememe rağmen başarılı olamamak.,sadness
Sevdiklerimin yanında olduğum zaman.,happiness
Bankanın müşteri temsilcisi telefonda bana terbiyesizlik yapınca çok sinirlenmiştim.,anger
Köyün derin bir tarihe sahip olduğu köyde bulunan tarihi eserlerden anlaşılmaktadır .,neutral
Başarılı performansını bir sonraki sezon da devam ettirdi .,neutral
Kendimi ifade edemediğim zamanlar.,anger
Keşif subayı olarak katıldığı Çanakkale Savaşında sağ kolunu omuz hizasında kaybetti .,neutral
Mayonezden.,disgust
Kötü geçen bir sınav sonrası.,sadness
İnsanların neden bu kadar sessizsin niye hiç konuşmuyorsun demesi çileden çıkartıyor.,anger
Ömer erkek çocuk istemektedir ama erkek çocukları olmaz .,neutral
En yakın arkadaşımı kanserden kaybettiğim zaman.,sadness
Japon mutfağında sığır dili Sendai şehri başta olmak üzere genellikle ızgara edilerek tüketilmektedir .,neutral
daha yeğenim olmadı ama abim evlenmek üzere ve bunun için çok mutluyum.,happiness
Cevizden.,disgust
Gittiğim pastahanede hamam böceği gördüğüm zaman tiksindim.,disgust
gece yarısı ıssız bir sokakta arkamdan biri yürürken,fear
Oldukça masif görünen yaklaşık yüksekliğindeki Lefkoşa surlarının duvarları bir daire oluşturmaktadır .,neutral
Dedem öldüğünde çok üzüldüm.,sadness
evde yalnız kalmak hoşuma gider,happiness
Bu bağlamda Türkiye Şanghay İşbirliği Örgütüne büyük bir önem vermektedir .,neutral
bilgisayar oynarken annemin yemeğe çağırmasına sinirlenirim,anger
Annemle babamın yalanımı yakalayıp bana kızacaklarını düşününce üzüldüm.,sadness
Sevdiklerimin başına bir şey gelirse.,sadness
yaşlı amcaların genizlerini yolda temizlemesi,disgust
Sınavlarda yanlış soru yaptığımda.,sadness
Gereksiz yere bana bağırılması.,anger
Başarılı olduğum zamanlar.,happiness
Yalan söylendiği zaman.,anger
"Saç teli, kusmuk , sümük ve balgam.",disgust
Ayrımcı ve bencil insanlar.,anger
En değer verdiğim insanı kaybetmek.,sadness
Karşılıklı konuşurken söz hakkı verilmemesi.,anger
Arkadaşımla ilgili olumlu bir şey olduğunda çok mutlu oldum.,happiness
Deniz ya da havuzda çok derinde yüzmekten korkarım.,fear
Chicago blues tarzı müziğin kurucularından biri olarak kabul edilmektedir .,neutral
UÇAKTA BİR AN NEFES ALAMAYINCA ÇOK KORKTUM VE SİGARAYI BIRAKTIM,fear
"Gecenin bir yarısında su içmeye kalktığımda annemi dağınık, perişan bir şekilde karşımda görünce çok korktum.",fear
Kendisinin yazıp ürettiği müzik çalışmalarıyla Grammy Ödülü sahibi olmuştur .,neutral
Beşiktaş maç kazanınca.,happiness
Gerilim filmi izlerken.,fear
"""Ankara'daki"" patlamada tanıdıklarımız vardı. Onlara bir şey oldu diye korkmuştuk.",fear
Yaz tatilleri.,happiness
Çok istediğim bir şeyin olmadığı zaman içimi acıtıyor.,sadness
Yapmayı bildiğim bir şeyin defalarca söylenmesi.,anger
Yılbaşında tüm ailemle geçirdiğim zaman.,happiness
Rüyamdan korktum,fear
Yakınlarımı kaybetmek.,sadness
Düşük beklediğim sınavlardan yüksek not almak.,happiness
ablamın ev arkadaşının saçlarını yere atmasından tiksiniyorum.,disgust
Hocanın derste uyuduğumu görünce bana kızmasına öfkelendim.,anger
Eşimin benden uzakta ve yalnız olduğunu bilmek canımı sıkıyor.,sadness
Kız kardeşimin benden daha güzel olduğunu söylenmesi beni üzer.,sadness
İnsanların birbirlerine saygı duymaması ve haksızlık yapılması öfkelendirir.,anger
Bu sefer Romalıların adaya düzenledikleri son sefer olacaktır .,neutral
Dedemin cenazesine gidememiştim.,sadness
İlk yeğenim doğduğunda çok sevindim.,happiness
Ücretli bir yazılımdır ve açık kaynak kodlu değildir .,neutral
"""iddaa"" kuponunun tek maçtan yatması",sadness
Sevdiklerimi kaybetme korkusu.,fear
Burun akmasından hoşlanmıyorum,disgust
Örümcek gördüğümde.,fear
Ağaç dikilmiş kavşaklarda görmeden yola çıkarken korkuyorum. Ama korkunun ecele faydası yoktur.,fear
Uzun süredir görüşmediğim bir arkadaşımla karşılaştığımda ve güzel bir anı aklıma geldiğinde.,happiness
Her şeyi bildiğini sanan kişiler.,anger
çok yakın bir arkadaşıma biraz kırılsam da sudan bir sebeple gelmediyse bir kereliğine anlayışla karşılarım tekrarlarsa öfkelenirim,anger
"""CSGO"" oyununda 30-1 e gittiğimde mutlu olurum.",happiness
Bu sonuca geniş çapta alay edildi ve polis memurları bunu şiddetle reddetti .,neutral
Otobüs durağında sigara içilmesine (duman bana geliyorsa) öfkeleniyorum.,anger
karanlıktan korkarım.,fear
yaşlı amcanın ceketini açarak bana doğru geldiği an.,fear
"2 haftalığına ""İngiltere'ye"" gittiğimde özgür hissetmiştim ve çok mutlu olmuştum.",happiness
Çok zor olan sınav sorularını gördüğümde.,fear
Dedem vefat ettiğinde çok üzüldüm.,sadness
Ailemden ayrıldığım zaman.,sadness
İstediğim telefonun zamanında alınmaması.,anger
Bir olayın sonucunun iyi olmasını beklerken kötü olması.,sadness
Yalnız kalacağımı düşündüğüm zamanlar.,fear
Mecburi ayrılıklar.,sadness
İnsanlara haksızlık yapıldığında öfkeleniyorum.,anger
Bisikletim çalındığı zaman.,sadness
Böcekler.,disgust
Matematik sınavından.,fear
Ailem ve arkadaşlarımla mutlu olurum.,happiness
Bu orta şerh üç defa Latinceye tercüme edilmiştir .,neutral
Bozuk sebzelerden tiksindim.,disgust
Köpekler.,fear
Akrabalarımdan birini kaybedince.,sadness
Erken yaşta ölmekten korkarım.,fear
Kazanacakken kaybettiğimiz basketbol maçı sonrası çok üzüldüm.,sadness
Trafik kazalarından.,fear
Yolda gördüğüm hayvan ölülerinden.,disgust
Ailem ya da yakın arkadaşlarımla ciddi bir tartışma geçirirsem.,sadness
Yalan söylenmesi.,anger
Sınavlar.,fear
Ailemin yanımda olduğu her an.,happiness
Böceklerden.,disgust
Çok istediğim bir şey alındığı zaman.,happiness
aniden aklıma gelen bir düşünceyle sevdiklerime bir şey olması ihtimali çok üzücü benim için.,sadness
Balık yemleri.,disgust
Birisi bana emir verdiği zaman.,anger
Oluşturduğu deltanın adına İnci Nehri Deltası denir .,neutral
Daha sonra üçüncü sezonda da yer almayı kabul etti .,neutral
Birisi kustuğunda tiksinirim.,disgust
Irkçı insanlar.,anger
Düşük not aldığımda ailemin üzülmesine.,sadness
Karanlıktan korkarım.,fear
Bu sabah arkadaşım Seranay geçmiş doğum günüm için bana kazak ve bileklik almıştı.,happiness
Kurbağa görünce.,fear
Ayağıma kusmuşlardı.,disgust
Evimize hırsız girdiğini sanmıştım ve o an evin içindeydim ve korktum.,fear
Düşük beklediğim sınavdan yüksek not aldığımda.,happiness
beşiktaş maçına ilk gittiğimde,happiness
Eliyle yemek yiyen insanlardan tiksiniyorum.,disgust
köpek kovaladığında çok korkmuştum.,fear
Sokak hayvanlarından tiksiniyorum.,disgust
Birisine araba çarpmasına üzülürüm.,sadness
Düşük not aldığımda.,sadness
